video_id,channel_id,title,published_at,age_days,views_per_day,engagement_rate,likes_per_1k,comments_per_1k,views_per_min,title_len,emoji_cnt,question_mark_flag,duration_sec,is_short,weekday,hour,topic_primary,topic_secondary,views_per_sub
P7p2OZj9ewU,UC7cs8q-gJRlGwj4A8OmCmXg,"Learn Azure for Analytics in Under 90 Minutes | Azure Synapse Analytics, SQL Databases, ADF + More",2024-11-26 13:00:27+00:00,275.0839549669213,62.96259628113432,0.0254618937644341,24.07621247113164,1.3856812933025404,224.11041621738192,98,0,False,4637,False,1,13,sql,cloud/mlops,0.0151929824561403
I0vQ_VLZTWg,UC7cs8q-gJRlGwj4A8OmCmXg,"Learn Power BI in Under 3 Hours | Formatting, Visualizations, Dashboards + Full Project",2024-11-19 13:00:31+00:00,282.083908670625,1464.5925815016983,0.0170596749754319,16.517483262251357,0.5421917131805838,3297.190742218675,87,0,False,7518,False,1,13,data viz,career/interview,0.3624017543859649
tnz72ywhCoo,UC7cs8q-gJRlGwj4A8OmCmXg,Coding with R and AI Now on Analyst Builder!,2024-11-12 13:01:10+00:00,289.0834572817361,21.471308176416187,0.0323827936201063,29.805058804575477,2.5777348155308526,743.3532934131737,44,0,False,501,False,1,13,r,career/interview,0.0054447368421052
j8FSP8XuFyk,UC7cs8q-gJRlGwj4A8OmCmXg,"Learn Tableau in Under 2 hours | Dashboards, Relationships, Visualizations + Mini Project",2024-11-05 13:01:16+00:00,296.08338783729164,584.7271650888431,0.0182581673674968,17.744096853195323,0.5140705143015573,1920.0887245841031,89,0,False,5410,False,1,13,data viz,career/interview,0.1518666666666666
zXnQNytHCPM,UC7cs8q-gJRlGwj4A8OmCmXg,"Learn Excel in Under 3 Hours | Pivot Tables, Lookups, Data Cleaning",2024-10-29 12:01:19+00:00,303.1250197817361,278.4857550220809,0.0248649545109931,23.91726686884003,0.9476876421531464,532.2572509457756,67,0,False,9516,False,1,12,excel,career/interview,0.0740491228070175
osA1QpBcxRs,UC7cs8q-gJRlGwj4A8OmCmXg,Nobody cares... so just do it!,2024-10-24 12:17:57+00:00,308.1134688558102,70.30202243491289,0.0959327824200175,93.11666128064262,2.8161211393749137,36101.66666666667,30,0,False,36,True,3,12,general/data,none,0.0190008771929824
Mdq1WWSdUtw,UC7cs8q-gJRlGwj4A8OmCmXg,"Learn Pandas in Under 3 Hours | Filtering, Joins, Indexing, Data Cleaning, Visualizations",2024-10-22 12:00:28+00:00,310.12561005951386,277.2586242829132,0.0245042740012792,23.85299761586323,0.6512763854160609,537.014676798168,89,0,False,9607,False,1,12,python,sql,0.0754254385964912
CZt2BUpgjgw,UC7cs8q-gJRlGwj4A8OmCmXg,Free Data Analyst Bootcamp 2024,2024-10-17 11:52:50+00:00,315.1309109854398,49.02407050990247,0.0773512848728073,74.6973914169202,2.653893455887113,29901.29032258064,31,0,False,31,True,3,11,sql,excel,0.0135517543859649
t1fQBD4B7xk,UC7cs8q-gJRlGwj4A8OmCmXg,"Learn Python in Under 3 Hours | Variables, For Loops, Web Scraping + Full Project",2024-10-15 12:01:10+00:00,317.12512394840275,165.48042408818526,0.0274591257288768,26.50634551621632,0.9527802126605436,345.21214779081237,81,0,False,9121,False,1,12,python,career/interview,0.0460333333333333
OT1RErkfLNQ,UC7cs8q-gJRlGwj4A8OmCmXg,Learn SQL Beginner to Advanced in Under 4 Hours,2024-10-08 12:00:27+00:00,324.12562163358797,2756.4374439055973,0.0214319612460713,20.64398857439626,0.7879726716750687,3647.157436385902,47,0,False,14698,False,1,12,sql,career/interview,0.7837122807017544
rxyLC247h6E,UC7cs8q-gJRlGwj4A8OmCmXg,AWS Quicksight | AWS Essentials,2024-10-01 12:00:58+00:00,331.12526283729164,79.19963513290269,0.0148331744518589,14.337464251668257,0.4957102001906578,2155.479452054795,31,0,False,730,False,1,12,cloud/mlops,career/interview,0.0230043859649122
AycpRKyRagE,UC7cs8q-gJRlGwj4A8OmCmXg,AWS Glue DataBrew and Glue | AWS Essentials,2024-09-24 12:00:16+00:00,338.12574894840276,31.89937481409001,0.0169664379751529,15.853884665306875,1.112553309846097,236.8814055636896,43,0,False,2732,False,1,12,cloud/mlops,career/interview,0.0094614035087719
K2GfrERtliU,UC7cs8q-gJRlGwj4A8OmCmXg,Amazon Athena in AWS | AWS Fundamentals,2024-09-17 12:00:24+00:00,345.1256563558102,48.811207424789295,0.0180458269025287,17.392852902766233,0.6529739997625549,686.1914460285133,39,0,False,1473,False,1,12,cloud/mlops,career/interview,0.0147771929824561
xmVyaT-RuVo,UC7cs8q-gJRlGwj4A8OmCmXg,Alex Freberg and Ben Rogojan Livestream | Everything Data Analytics and Data Engineering,2024-09-11 03:20:13+00:00,351.4868947817361,17.110168513493317,0.0342534087130029,32.923179248420354,1.3302294645826405,79.90256864481843,88,0,False,4516,False,2,3,career/interview,livestream/qa,0.0052754385964912
amb9bciHGSI,UC7cs8q-gJRlGwj4A8OmCmXg,Landing a Data Job Course on Analyst Builder,2024-09-03 12:00:05+00:00,359.1258762632176,66.8734880646632,0.0384327115256495,34.43537641572285,3.997335109926716,2881.9199999999996,44,0,False,500,False,1,12,career/interview,none,0.0210666666666666
Pd6IT3jM-yQ,UCh9nVJoWXmFb7sLApWGcLPQ,Resume Project Challenge 2 #codebasics #shorts #ai #data,2025-08-27 12:52:11+00:00,1.089695707662037,14905.078441437125,0.0281984977219554,27.767516315724663,0.4309814062307597,17096.84210526316,56,0,False,57,True,2,12,career/interview,projects/case,0.0118554744525547
OqUkCecX5Xk,UCh9nVJoWXmFb7sLApWGcLPQ,Are you too old to learn AI? #shorts #codebasics #ai #data,2025-08-26 12:30:28+00:00,2.104776726180555,4771.527485589688,0.0134421985462511,12.745195658667727,0.6970028875833914,24103.2,58,0,True,25,True,1,12,general/data,none,0.0073306569343065
JrqyvQH-5xk,UCh9nVJoWXmFb7sLApWGcLPQ,Gen AI vs Agentic AI #shorts #data #ai #codebasics #genai,2025-08-25 12:30:31+00:00,3.1047420039583336,5026.826699320633,0.0288332158646761,28.640994425578267,0.1922214390978407,16428.42105263158,57,0,False,57,True,0,12,general/data,none,0.0113919708029197
fC5QU78J14Q,UCh9nVJoWXmFb7sLApWGcLPQ,AI/ML Engineer  #shorts #ai #aiengineer #mlengineer,2025-08-18 12:30:57+00:00,10.104441078032409,2568.17767549921,0.0263583815028901,25.895953757225435,0.4624277456647399,50225.8064516129,51,0,False,31,True,0,12,ml,none,0.018941605839416
